,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.02,64,0.167
1,0.1,3,0.02,96,0.2251
2,0.1,3,0.02,128,0.2707
3,0.1,3,0.02,160,0.3089
4,0.1,3,0.02,192,0.347
5,0.1,3,0.02,64,0.2186
6,0.1,3,0.02,96,0.2713
7,0.1,3,0.02,128,0.3134
8,0.1,3,0.02,160,0.3521
9,0.1,3,0.02,192,0.3724
10,0.1,5,0.02,64,0.0363
11,0.1,5,0.02,96,0.0569
12,0.1,5,0.02,128,0.0745
13,0.1,5,0.02,160,0.0942
14,0.1,5,0.02,192,0.1033
15,0.1,5,0.02,64,0.1218
16,0.1,5,0.02,96,0.1421
17,0.1,5,0.02,128,0.1537
18,0.1,5,0.02,160,0.1707
19,0.1,5,0.02,192,0.1844
20,0.1,7,0.02,64,0.0091
21,0.1,7,0.02,96,0.0106
22,0.1,7,0.02,128,0.0159
23,0.1,7,0.02,160,0.0222
24,0.1,7,0.02,192,0.0198
25,0.1,7,0.02,64,0.0905
26,0.1,7,0.02,96,0.095
27,0.1,7,0.02,128,0.0999
28,0.1,7,0.02,160,0.1039
29,0.1,7,0.02,192,0.1117
30,0.10222222222222223,3,0.02,64,0.1605
31,0.10222222222222223,3,0.02,96,0.2211
32,0.10222222222222223,3,0.02,128,0.2693
33,0.10222222222222223,3,0.02,160,0.306
34,0.10222222222222223,3,0.02,192,0.3412
35,0.10222222222222223,3,0.02,64,0.2333
36,0.10222222222222223,3,0.02,96,0.2688
37,0.10222222222222223,3,0.02,128,0.3197
38,0.10222222222222223,3,0.02,160,0.349
39,0.10222222222222223,3,0.02,192,0.3711
40,0.10222222222222223,5,0.02,64,0.0378
41,0.10222222222222223,5,0.02,96,0.0548
42,0.10222222222222223,5,0.02,128,0.0765
43,0.10222222222222223,5,0.02,160,0.0941
44,0.10222222222222223,5,0.02,192,0.1061
45,0.10222222222222223,5,0.02,64,0.1254
46,0.10222222222222223,5,0.02,96,0.1385
47,0.10222222222222223,5,0.02,128,0.1543
48,0.10222222222222223,5,0.02,160,0.1767
49,0.10222222222222223,5,0.02,192,0.185
50,0.10222222222222223,7,0.02,64,0.0081
51,0.10222222222222223,7,0.02,96,0.013
52,0.10222222222222223,7,0.02,128,0.0179
53,0.10222222222222223,7,0.02,160,0.0194
54,0.10222222222222223,7,0.02,192,0.0238
55,0.10222222222222223,7,0.02,64,0.0969
56,0.10222222222222223,7,0.02,96,0.099
57,0.10222222222222223,7,0.02,128,0.1063
58,0.10222222222222223,7,0.02,160,0.1108
59,0.10222222222222223,7,0.02,192,0.1088
60,0.10444444444444445,3,0.02,64,0.161
61,0.10444444444444445,3,0.02,96,0.2217
62,0.10444444444444445,3,0.02,128,0.2706
63,0.10444444444444445,3,0.02,160,0.3143
64,0.10444444444444445,3,0.02,192,0.3442
