,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.15,3,0.01,64,0.0456
1,0.15,3,0.01,96,0.0685
2,0.15,3,0.01,128,0.0885
3,0.15,3,0.01,160,0.108
4,0.15,3,0.01,192,0.126
5,0.15,3,0.01,64,0.1699
6,0.15,3,0.01,96,0.1913
7,0.15,3,0.01,128,0.2058
8,0.15,3,0.01,160,0.2217
9,0.15,3,0.01,192,0.2344
10,0.15,5,0.01,64,0.0051
11,0.15,5,0.01,96,0.0081
12,0.15,5,0.01,128,0.0084
13,0.15,5,0.01,160,0.0124
14,0.15,5,0.01,192,0.014
15,0.15,5,0.01,64,0.1553
16,0.15,5,0.01,96,0.153
17,0.15,5,0.01,128,0.1599
18,0.15,5,0.01,160,0.1526
19,0.15,5,0.01,192,0.1583
20,0.15,7,0.01,64,0.0005
21,0.15,7,0.01,96,0.0018
22,0.15,7,0.01,128,0.0006
23,0.15,7,0.01,160,0.0017
24,0.15,7,0.01,192,0.0018
25,0.15,7,0.01,64,0.1594
26,0.15,7,0.01,96,0.1595
27,0.15,7,0.01,128,0.1564
28,0.15,7,0.01,160,0.1609
29,0.15,7,0.01,192,0.1675
30,0.14722222222222223,3,0.01,64,0.053
31,0.14722222222222223,3,0.01,96,0.0739
32,0.14722222222222223,3,0.01,128,0.0912
33,0.14722222222222223,3,0.01,160,0.1104
34,0.14722222222222223,3,0.01,192,0.1345
35,0.14722222222222223,3,0.01,64,0.1735
36,0.14722222222222223,3,0.01,96,0.1866
37,0.14722222222222223,3,0.01,128,0.2036
38,0.14722222222222223,3,0.01,160,0.2201
39,0.14722222222222223,3,0.01,192,0.2209
40,0.14722222222222223,5,0.01,64,0.0049
41,0.14722222222222223,5,0.01,96,0.008
42,0.14722222222222223,5,0.01,128,0.0085
43,0.14722222222222223,5,0.01,160,0.0138
44,0.14722222222222223,5,0.01,192,0.0152
45,0.14722222222222223,5,0.01,64,0.1506
46,0.14722222222222223,5,0.01,96,0.1521
47,0.14722222222222223,5,0.01,128,0.1518
48,0.14722222222222223,5,0.01,160,0.1599
49,0.14722222222222223,5,0.01,192,0.1569
50,0.14722222222222223,7,0.01,64,0.0004
51,0.14722222222222223,7,0.01,96,0.0005
52,0.14722222222222223,7,0.01,128,0.0009
53,0.14722222222222223,7,0.01,160,0.0017
54,0.14722222222222223,7,0.01,192,0.0022
55,0.14722222222222223,7,0.01,64,0.1519
56,0.14722222222222223,7,0.01,96,0.1508
57,0.14722222222222223,7,0.01,128,0.1507
58,0.14722222222222223,7,0.01,160,0.1536
59,0.14722222222222223,7,0.01,192,0.1542
60,0.14444444444444443,3,0.01,64,0.0483
61,0.14444444444444443,3,0.01,96,0.0703
62,0.14444444444444443,3,0.01,128,0.0878
63,0.14444444444444443,3,0.01,160,0.1141
64,0.14444444444444443,3,0.01,192,0.1265
65,0.14444444444444443,3,0.01,64,0.1651
