,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.02,64,0.16154
1,0.1,3,0.02,96,0.22025
2,0.1,3,0.02,128,0.27107
3,0.1,3,0.02,160,0.31014
4,0.1,3,0.02,192,0.34366
5,0.1,3,0.02,64,0.22761
6,0.1,3,0.02,96,0.27526
7,0.1,3,0.02,128,0.31204
8,0.1,3,0.02,160,0.34881
9,0.1,3,0.02,192,0.37678
10,0.1,5,0.02,64,0.03984
11,0.1,5,0.02,96,0.05682
12,0.1,5,0.02,128,0.07486
13,0.1,5,0.02,160,0.092
14,0.1,5,0.02,192,0.10804
15,0.1,5,0.02,64,0.12321
16,0.1,5,0.02,96,0.13965
17,0.1,5,0.02,128,0.1513
18,0.1,5,0.02,160,0.16587
19,0.1,5,0.02,192,0.17923
20,0.1,7,0.02,64,0.00863
21,0.1,7,0.02,96,0.01189
22,0.1,7,0.02,128,0.01667
23,0.1,7,0.02,160,0.01958
24,0.1,7,0.02,192,0.02332
25,0.1,7,0.02,64,0.09279
26,0.1,7,0.02,96,0.09579
27,0.1,7,0.02,128,0.09941
28,0.1,7,0.02,160,0.1026
29,0.1,7,0.02,192,0.10602
30,0.10333333333333333,3,0.02,64,0.16192
31,0.10333333333333333,3,0.02,96,0.21997
32,0.10333333333333333,3,0.02,128,0.26866
33,0.10333333333333333,3,0.02,160,0.30974
34,0.10333333333333333,3,0.02,192,0.34576
35,0.10333333333333333,3,0.02,64,0.22976
36,0.10333333333333333,3,0.02,96,0.27711
37,0.10333333333333333,3,0.02,128,0.31624
38,0.10333333333333333,3,0.02,160,0.34686
39,0.10333333333333333,3,0.02,192,0.37559
40,0.10333333333333333,5,0.02,64,0.03918
41,0.10333333333333333,5,0.02,96,0.05667
42,0.10333333333333333,5,0.02,128,0.07473
43,0.10333333333333333,5,0.02,160,0.09032
44,0.10333333333333333,5,0.02,192,0.10762
45,0.10333333333333333,5,0.02,64,0.12985
46,0.10333333333333333,5,0.02,96,0.14244
47,0.10333333333333333,5,0.02,128,0.15728
48,0.10333333333333333,5,0.02,160,0.17271
49,0.10333333333333333,5,0.02,192,0.18396
50,0.10333333333333333,7,0.02,64,0.00791
51,0.10333333333333333,7,0.02,96,0.01196
52,0.10333333333333333,7,0.02,128,0.01603
53,0.10333333333333333,7,0.02,160,0.02
54,0.10333333333333333,7,0.02,192,0.02355
55,0.10333333333333333,7,0.02,64,0.09757
56,0.10333333333333333,7,0.02,96,0.10217
57,0.10333333333333333,7,0.02,128,0.10681
58,0.10333333333333333,7,0.02,160,0.108
59,0.10333333333333333,7,0.02,192,0.11239
60,0.10666666666666667,3,0.02,64,0.16127
61,0.10666666666666667,3,0.02,96,0.22031
62,0.10666666666666667,3,0.02,128,0.26974
63,0.10666666666666667,3,0.02,160,0.31033
64,0.10666666666666667,3,0.02,192,0.34497
65,0.10666666666666667,3,0.02,64,0.23067
66,0.10666666666666667,3,0.02,96,0.27875
67,0.10666666666666667,3,0.02,128,0.31818
68,0.10666666666666667,3,0.02,160,0.34962
69,0.10666666666666667,3,0.02,192,0.37722
70,0.10666666666666667,5,0.02,64,0.03752
71,0.10666666666666667,5,0.02,96,0.05574
72,0.10666666666666667,5,0.02,128,0.07406
73,0.10666666666666667,5,0.02,160,0.08868
74,0.10666666666666667,5,0.02,192,0.10748
75,0.10666666666666667,5,0.02,64,0.13312
76,0.10666666666666667,5,0.02,96,0.14693
77,0.10666666666666667,5,0.02,128,0.16029
78,0.10666666666666667,5,0.02,160,0.17798
79,0.10666666666666667,5,0.02,192,0.18583
80,0.10666666666666667,7,0.02,64,0.00813
81,0.10666666666666667,7,0.02,96,0.0122
82,0.10666666666666667,7,0.02,128,0.01582
83,0.10666666666666667,7,0.02,160,0.02036
84,0.10666666666666667,7,0.02,192,0.02434
85,0.10666666666666667,7,0.02,64,0.10483
86,0.10666666666666667,7,0.02,96,0.10683
87,0.10666666666666667,7,0.02,128,0.11185
88,0.10666666666666667,7,0.02,160,0.11279
89,0.10666666666666667,7,0.02,192,0.11781
