,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,5,0.0225,24,0.0808
1,0.08,5,0.0225,36,0.1105
2,0.08,5,0.0225,48,0.1424
3,0.08,5,0.0225,60,0.1766
4,0.08,5,0.0225,24,0.1239
5,0.08,5,0.0225,36,0.1514
6,0.08,5,0.0225,48,0.177
7,0.08,5,0.0225,60,0.197
8,0.08,7,0.0225,24,0.0319
9,0.08,7,0.0225,36,0.0463
10,0.08,7,0.0225,48,0.0627
11,0.08,7,0.0225,60,0.0746
12,0.08,7,0.0225,24,0.0676
13,0.08,7,0.0225,36,0.0799
14,0.08,7,0.0225,48,0.0998
15,0.08,7,0.0225,60,0.1117
16,0.08,9,0.0225,24,0.0136
17,0.08,9,0.0225,36,0.0194
18,0.08,9,0.0225,48,0.0246
19,0.08,9,0.0225,60,0.0348
20,0.08,9,0.0225,24,0.0461
21,0.08,9,0.0225,36,0.0527
22,0.08,9,0.0225,48,0.0531
23,0.08,9,0.0225,60,0.0639
24,0.09,5,0.0225,24,0.0766
25,0.09,5,0.0225,36,0.1148
26,0.09,5,0.0225,48,0.146
27,0.09,5,0.0225,60,0.1755
28,0.09,5,0.0225,24,0.1353
29,0.09,5,0.0225,36,0.1603
30,0.09,5,0.0225,48,0.1913
31,0.09,5,0.0225,60,0.2143
32,0.09,7,0.0225,24,0.0312
33,0.09,7,0.0225,36,0.0469
34,0.09,7,0.0225,48,0.0605
35,0.09,7,0.0225,60,0.075
36,0.09,7,0.0225,24,0.0866
37,0.09,7,0.0225,36,0.0981
38,0.09,7,0.0225,48,0.1153
39,0.09,7,0.0225,60,0.1256
40,0.09,9,0.0225,24,0.0141
41,0.09,9,0.0225,36,0.0188
42,0.09,9,0.0225,48,0.0254
43,0.09,9,0.0225,60,0.0318
44,0.09,9,0.0225,24,0.0617
45,0.09,9,0.0225,36,0.0706
46,0.09,9,0.0225,48,0.0726
47,0.09,9,0.0225,60,0.0747
48,0.1,5,0.0225,24,0.0775
49,0.1,5,0.0225,36,0.112
50,0.1,5,0.0225,48,0.1457
51,0.1,5,0.0225,60,0.1755
52,0.1,5,0.0225,24,0.1421
53,0.1,5,0.0225,36,0.1761
54,0.1,5,0.0225,48,0.1921
55,0.1,5,0.0225,60,0.2254
56,0.1,7,0.0225,24,0.0318
57,0.1,7,0.0225,36,0.0444
58,0.1,7,0.0225,48,0.0638
59,0.1,7,0.0225,60,0.0748
60,0.1,7,0.0225,24,0.0986
61,0.1,7,0.0225,36,0.1125
62,0.1,7,0.0225,48,0.1212
63,0.1,7,0.0225,60,0.1412
64,0.1,9,0.0225,24,0.0128
65,0.1,9,0.0225,36,0.0213
66,0.1,9,0.0225,48,0.0248
67,0.1,9,0.0225,60,0.0325
68,0.1,9,0.0225,24,0.0751
69,0.1,9,0.0225,36,0.0819
70,0.1,9,0.0225,48,0.0906
71,0.1,9,0.0225,60,0.0918
72,0.11,5,0.0225,24,0.0802
73,0.11,5,0.0225,36,0.1089
74,0.11,5,0.0225,48,0.1398
75,0.11,5,0.0225,60,0.1729
76,0.11,5,0.0225,24,0.1545
77,0.11,5,0.0225,36,0.1893
78,0.11,5,0.0225,48,0.2118
79,0.11,5,0.0225,60,0.2325
80,0.11,7,0.0225,24,0.0284
81,0.11,7,0.0225,36,0.0489
82,0.11,7,0.0225,48,0.0587
83,0.11,7,0.0225,60,0.077
84,0.11,7,0.0225,24,0.1177
85,0.11,7,0.0225,36,0.1263
86,0.11,7,0.0225,48,0.1408
87,0.11,7,0.0225,60,0.1573
88,0.11,9,0.0225,24,0.0121
89,0.11,9,0.0225,36,0.0185
90,0.11,9,0.0225,48,0.0258
91,0.11,9,0.0225,60,0.0315
92,0.11,9,0.0225,24,0.0907
93,0.11,9,0.0225,36,0.0968
94,0.11,9,0.0225,48,0.1085
95,0.11,9,0.0225,60,0.1154
96,0.12,5,0.0225,24,0.0843
97,0.12,5,0.0225,36,0.1084
98,0.12,5,0.0225,48,0.142
99,0.12,5,0.0225,60,0.1687
100,0.12,5,0.0225,24,0.1703
101,0.12,5,0.0225,36,0.2007
102,0.12,5,0.0225,48,0.2225
103,0.12,5,0.0225,60,0.2536
104,0.12,7,0.0225,24,0.0345
105,0.12,7,0.0225,36,0.0475
106,0.12,7,0.0225,48,0.0627
107,0.12,7,0.0225,60,0.0729
108,0.12,7,0.0225,24,0.1382
109,0.12,7,0.0225,36,0.1553
110,0.12,7,0.0225,48,0.1552
111,0.12,7,0.0225,60,0.1655
112,0.12,9,0.0225,24,0.0132
113,0.12,9,0.0225,36,0.0197
114,0.12,9,0.0225,48,0.0276
115,0.12,9,0.0225,60,0.0309
116,0.12,9,0.0225,24,0.116
117,0.12,9,0.0225,36,0.1243
118,0.12,9,0.0225,48,0.1278
119,0.12,9,0.0225,60,0.1396
120,0.13,5,0.0225,24,0.0758
121,0.13,5,0.0225,36,0.1158
122,0.13,5,0.0225,48,0.1454
123,0.13,5,0.0225,60,0.1696
124,0.13,5,0.0225,24,0.1819
125,0.13,5,0.0225,36,0.2075
126,0.13,5,0.0225,48,0.2284
127,0.13,5,0.0225,60,0.2558
128,0.13,7,0.0225,24,0.0295
129,0.13,7,0.0225,36,0.0467
130,0.13,7,0.0225,48,0.057
131,0.13,7,0.0225,60,0.0787
132,0.13,7,0.0225,24,0.1547
133,0.13,7,0.0225,36,0.1689
134,0.13,7,0.0225,48,0.1713
135,0.13,7,0.0225,60,0.1944
136,0.13,9,0.0225,24,0.0138
137,0.13,9,0.0225,36,0.0194
138,0.13,9,0.0225,48,0.0241
139,0.13,9,0.0225,60,0.0341
140,0.13,9,0.0225,24,0.1364
141,0.13,9,0.0225,36,0.1536
142,0.13,9,0.0225,48,0.1476
143,0.13,9,0.0225,60,0.1495
144,0.14,5,0.0225,24,0.074
145,0.14,5,0.0225,36,0.1163
146,0.14,5,0.0225,48,0.141
147,0.14,5,0.0225,60,0.1758
148,0.14,5,0.0225,24,0.1965
149,0.14,5,0.0225,36,0.229
150,0.14,5,0.0225,48,0.2502
151,0.14,5,0.0225,60,0.2694
152,0.14,7,0.0225,24,0.0288
153,0.14,7,0.0225,36,0.0496
154,0.14,7,0.0225,48,0.0633
155,0.14,7,0.0225,60,0.077
156,0.14,7,0.0225,24,0.1763
157,0.14,7,0.0225,36,0.184
158,0.14,7,0.0225,48,0.2
159,0.14,7,0.0225,60,0.2033
160,0.14,9,0.0225,24,0.0116
161,0.14,9,0.0225,36,0.0192
162,0.14,9,0.0225,48,0.0222
163,0.14,9,0.0225,60,0.0298
