,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.12,3,0.005,64,0.01307
1,0.12,3,0.005,96,0.01921
2,0.12,3,0.005,128,0.02529
3,0.12,3,0.005,160,0.03109
4,0.12,3,0.005,192,0.03633
5,0.12,3,0.005,64,0.10306
6,0.12,3,0.005,96,0.10844
7,0.12,3,0.005,128,0.11434
8,0.12,3,0.005,160,0.11728
9,0.12,3,0.005,192,0.1235
10,0.12,5,0.005,64,0.00059
11,0.12,5,0.005,96,0.00115
12,0.12,5,0.005,128,0.00152
13,0.12,5,0.005,160,0.00173
14,0.12,5,0.005,192,0.00233
15,0.12,5,0.005,64,0.08975
16,0.12,5,0.005,96,0.08929
17,0.12,5,0.005,128,0.09042
18,0.12,5,0.005,160,0.09031
19,0.12,5,0.005,192,0.0905
20,0.12,7,0.005,64,6e-05
21,0.12,7,0.005,96,5e-05
22,0.12,7,0.005,128,3e-05
23,0.12,7,0.005,160,6e-05
24,0.12,7,0.005,192,0.00011
25,0.12,7,0.005,64,0.08349
26,0.12,7,0.005,96,0.08475
27,0.12,7,0.005,128,0.08359
28,0.12,7,0.005,160,0.08431
29,0.12,7,0.005,192,0.08391
30,0.12333333333333332,3,0.005,64,0.01244
31,0.12333333333333332,3,0.005,96,0.01785
32,0.12333333333333332,3,0.005,128,0.02457
33,0.12333333333333332,3,0.005,160,0.03055
34,0.12333333333333332,3,0.005,192,0.03587
35,0.12333333333333332,3,0.005,64,0.10725
36,0.12333333333333332,3,0.005,96,0.11269
37,0.12333333333333332,3,0.005,128,0.11849
38,0.12333333333333332,3,0.005,160,0.12159
39,0.12333333333333332,3,0.005,192,0.12638
40,0.12333333333333332,5,0.005,64,0.00065
41,0.12333333333333332,5,0.005,96,0.00112
42,0.12333333333333332,5,0.005,128,0.00142
43,0.12333333333333332,5,0.005,160,0.00158
44,0.12333333333333332,5,0.005,192,0.00212
45,0.12333333333333332,5,0.005,64,0.09361
46,0.12333333333333332,5,0.005,96,0.09228
47,0.12333333333333332,5,0.005,128,0.09659
48,0.12333333333333332,5,0.005,160,0.09428
49,0.12333333333333332,5,0.005,192,0.09651
50,0.12333333333333332,7,0.005,64,4e-05
51,0.12333333333333332,7,0.005,96,5e-05
52,0.12333333333333332,7,0.005,128,5e-05
53,0.12333333333333332,7,0.005,160,0.00019
54,0.12333333333333332,7,0.005,192,0.00013
55,0.12333333333333332,7,0.005,64,0.0894
56,0.12333333333333332,7,0.005,96,0.08857
57,0.12333333333333332,7,0.005,128,0.08917
58,0.12333333333333332,7,0.005,160,0.08892
59,0.12333333333333332,7,0.005,192,0.08912
60,0.12666666666666665,3,0.005,64,0.01291
61,0.12666666666666665,3,0.005,96,0.01834
62,0.12666666666666665,3,0.005,128,0.0247
63,0.12666666666666665,3,0.005,160,0.03038
64,0.12666666666666665,3,0.005,192,0.03657
65,0.12666666666666665,3,0.005,64,0.10923
66,0.12666666666666665,3,0.005,96,0.1148
67,0.12666666666666665,3,0.005,128,0.12192
68,0.12666666666666665,3,0.005,160,0.12604
69,0.12666666666666665,3,0.005,192,0.13026
70,0.12666666666666665,5,0.005,64,0.00067
71,0.12666666666666665,5,0.005,96,0.00097
72,0.12666666666666665,5,0.005,128,0.0014
73,0.12666666666666665,5,0.005,160,0.00185
74,0.12666666666666665,5,0.005,192,0.00193
75,0.12666666666666665,5,0.005,64,0.0999
76,0.12666666666666665,5,0.005,96,0.09898
77,0.12666666666666665,5,0.005,128,0.10264
78,0.12666666666666665,5,0.005,160,0.10026
79,0.12666666666666665,5,0.005,192,0.10074
80,0.12666666666666665,7,0.005,64,1e-05
81,0.12666666666666665,7,0.005,96,9e-05
82,0.12666666666666665,7,0.005,128,5e-05
83,0.12666666666666665,7,0.005,160,0.00011
84,0.12666666666666665,7,0.005,192,0.00013
85,0.12666666666666665,7,0.005,64,0.09445
86,0.12666666666666665,7,0.005,96,0.09543
87,0.12666666666666665,7,0.005,128,0.0975
88,0.12666666666666665,7,0.005,160,0.09429
89,0.12666666666666665,7,0.005,192,0.09543
90,0.13,3,0.005,64,0.01181
91,0.13,3,0.005,96,0.01884
92,0.13,3,0.005,128,0.0246
93,0.13,3,0.005,160,0.03072
94,0.13,3,0.005,192,0.03694
95,0.13,3,0.005,64,0.11674
96,0.13,3,0.005,96,0.12077
97,0.13,3,0.005,128,0.12457
98,0.13,3,0.005,160,0.12842
99,0.13,3,0.005,192,0.13279
100,0.13,5,0.005,64,0.00076
101,0.13,5,0.005,96,0.00104
102,0.13,5,0.005,128,0.00131
103,0.13,5,0.005,160,0.00182
104,0.13,5,0.005,192,0.00197
105,0.13,5,0.005,64,0.10632
106,0.13,5,0.005,96,0.10567
107,0.13,5,0.005,128,0.10445
108,0.13,5,0.005,160,0.10485
109,0.13,5,0.005,192,0.10664
110,0.13,7,0.005,64,6e-05
111,0.13,7,0.005,96,4e-05
112,0.13,7,0.005,128,0.00012
113,0.13,7,0.005,160,0.0001
114,0.13,7,0.005,192,8e-05
115,0.13,7,0.005,64,0.10289
116,0.13,7,0.005,96,0.10313
117,0.13,7,0.005,128,0.09996
118,0.13,7,0.005,160,0.10399
119,0.13,7,0.005,192,0.10278
120,0.13333333333333333,3,0.005,64,0.01239
121,0.13333333333333333,3,0.005,96,0.01777
122,0.13333333333333333,3,0.005,128,0.02362
123,0.13333333333333333,3,0.005,160,0.03128
124,0.13333333333333333,3,0.005,192,0.03537
125,0.13333333333333333,3,0.005,64,0.11765
126,0.13333333333333333,3,0.005,96,0.12375
127,0.13333333333333333,3,0.005,128,0.12861
128,0.13333333333333333,3,0.005,160,0.13306
129,0.13333333333333333,3,0.005,192,0.13661
130,0.13333333333333333,5,0.005,64,0.00053
131,0.13333333333333333,5,0.005,96,0.00091
132,0.13333333333333333,5,0.005,128,0.00127
133,0.13333333333333333,5,0.005,160,0.00173
134,0.13333333333333333,5,0.005,192,0.00197
135,0.13333333333333333,5,0.005,64,0.11035
136,0.13333333333333333,5,0.005,96,0.11129
137,0.13333333333333333,5,0.005,128,0.11042
138,0.13333333333333333,5,0.005,160,0.11161
139,0.13333333333333333,5,0.005,192,0.11165
140,0.13333333333333333,7,0.005,64,6e-05
141,0.13333333333333333,7,0.005,96,2e-05
142,0.13333333333333333,7,0.005,128,6e-05
143,0.13333333333333333,7,0.005,160,9e-05
144,0.13333333333333333,7,0.005,192,0.00012
145,0.13333333333333333,7,0.005,64,0.10993
146,0.13333333333333333,7,0.005,96,0.1099
147,0.13333333333333333,7,0.005,128,0.10938
148,0.13333333333333333,7,0.005,160,0.1094
149,0.13333333333333333,7,0.005,192,0.11025
150,0.13666666666666666,3,0.005,64,0.01281
151,0.13666666666666666,3,0.005,96,0.01897
152,0.13666666666666666,3,0.005,128,0.02493
153,0.13666666666666666,3,0.005,160,0.03008
154,0.13666666666666666,3,0.005,192,0.03723
155,0.13666666666666666,3,0.005,64,0.1218
156,0.13666666666666666,3,0.005,96,0.12755
157,0.13666666666666666,3,0.005,128,0.13096
158,0.13666666666666666,3,0.005,160,0.13616
159,0.13666666666666666,3,0.005,192,0.14139
160,0.13666666666666666,5,0.005,64,0.00072
161,0.13666666666666666,5,0.005,96,0.00107
162,0.13666666666666666,5,0.005,128,0.00128
163,0.13666666666666666,5,0.005,160,0.00196
164,0.13666666666666666,5,0.005,192,0.00209
165,0.13666666666666666,5,0.005,64,0.11643
166,0.13666666666666666,5,0.005,96,0.11583
167,0.13666666666666666,5,0.005,128,0.11743
168,0.13666666666666666,5,0.005,160,0.11586
169,0.13666666666666666,5,0.005,192,0.11605
170,0.13666666666666666,7,0.005,64,3e-05
171,0.13666666666666666,7,0.005,96,2e-05
172,0.13666666666666666,7,0.005,128,7e-05
173,0.13666666666666666,7,0.005,160,0.0001
174,0.13666666666666666,7,0.005,192,0.0001
175,0.13666666666666666,7,0.005,64,0.11506
176,0.13666666666666666,7,0.005,96,0.11613
177,0.13666666666666666,7,0.005,128,0.11661
178,0.13666666666666666,7,0.005,160,0.11441
179,0.13666666666666666,7,0.005,192,0.11314
180,0.13999999999999999,3,0.005,64,0.01365
181,0.13999999999999999,3,0.005,96,0.01859
182,0.13999999999999999,3,0.005,128,0.02388
183,0.13999999999999999,3,0.005,160,0.03004
184,0.13999999999999999,3,0.005,192,0.03678
185,0.13999999999999999,3,0.005,64,0.12472
186,0.13999999999999999,3,0.005,96,0.12945
187,0.13999999999999999,3,0.005,128,0.13475
188,0.13999999999999999,3,0.005,160,0.13959
189,0.13999999999999999,3,0.005,192,0.14489
190,0.13999999999999999,5,0.005,64,0.00075
191,0.13999999999999999,5,0.005,96,0.00105
192,0.13999999999999999,5,0.005,128,0.0013
193,0.13999999999999999,5,0.005,160,0.00168
194,0.13999999999999999,5,0.005,192,0.00203
195,0.13999999999999999,5,0.005,64,0.12198
196,0.13999999999999999,5,0.005,96,0.12083
197,0.13999999999999999,5,0.005,128,0.12203
198,0.13999999999999999,5,0.005,160,0.12121
199,0.13999999999999999,5,0.005,192,0.12183
200,0.13999999999999999,7,0.005,64,2e-05
201,0.13999999999999999,7,0.005,96,7e-05
202,0.13999999999999999,7,0.005,128,4e-05
203,0.13999999999999999,7,0.005,160,7e-05
204,0.13999999999999999,7,0.005,192,0.00013
205,0.13999999999999999,7,0.005,64,0.1228
206,0.13999999999999999,7,0.005,96,0.12174
207,0.13999999999999999,7,0.005,128,0.12275
208,0.13999999999999999,7,0.005,160,0.12378
209,0.13999999999999999,7,0.005,192,0.1216
210,0.1433333333333333,3,0.005,64,0.01275
211,0.1433333333333333,3,0.005,96,0.01863
212,0.1433333333333333,3,0.005,128,0.02458
213,0.1433333333333333,3,0.005,160,0.03087
214,0.1433333333333333,3,0.005,192,0.0372
215,0.1433333333333333,3,0.005,64,0.13126
216,0.1433333333333333,3,0.005,96,0.13607
217,0.1433333333333333,3,0.005,128,0.13909
218,0.1433333333333333,3,0.005,160,0.14518
219,0.1433333333333333,3,0.005,192,0.14955
220,0.1433333333333333,5,0.005,64,0.00076
221,0.1433333333333333,5,0.005,96,0.00103
222,0.1433333333333333,5,0.005,128,0.0013
223,0.1433333333333333,5,0.005,160,0.00152
224,0.1433333333333333,5,0.005,192,0.00205
225,0.1433333333333333,5,0.005,64,0.12941
226,0.1433333333333333,5,0.005,96,0.12663
227,0.1433333333333333,5,0.005,128,0.1274
228,0.1433333333333333,5,0.005,160,0.12597
229,0.1433333333333333,5,0.005,192,0.1281
230,0.1433333333333333,7,0.005,64,2e-05
231,0.1433333333333333,7,0.005,96,2e-05
232,0.1433333333333333,7,0.005,128,8e-05
233,0.1433333333333333,7,0.005,160,0.00012
234,0.1433333333333333,7,0.005,192,0.00017
235,0.1433333333333333,7,0.005,64,0.12911
236,0.1433333333333333,7,0.005,96,0.1299
237,0.1433333333333333,7,0.005,128,0.12989
238,0.1433333333333333,7,0.005,160,0.12998
239,0.1433333333333333,7,0.005,192,0.12939
240,0.14666666666666667,3,0.005,64,0.01218
241,0.14666666666666667,3,0.005,96,0.01911
242,0.14666666666666667,3,0.005,128,0.02414
243,0.14666666666666667,3,0.005,160,0.03091
244,0.14666666666666667,3,0.005,192,0.0363
245,0.14666666666666667,3,0.005,64,0.13326
246,0.14666666666666667,3,0.005,96,0.14033
247,0.14666666666666667,3,0.005,128,0.14415
248,0.14666666666666667,3,0.005,160,0.14776
249,0.14666666666666667,3,0.005,192,0.15245
250,0.14666666666666667,5,0.005,64,0.00069
251,0.14666666666666667,5,0.005,96,0.00091
252,0.14666666666666667,5,0.005,128,0.00145
253,0.14666666666666667,5,0.005,160,0.00164
254,0.14666666666666667,5,0.005,192,0.00186
255,0.14666666666666667,5,0.005,64,0.13266
256,0.14666666666666667,5,0.005,96,0.13508
257,0.14666666666666667,5,0.005,128,0.13396
258,0.14666666666666667,5,0.005,160,0.13245
259,0.14666666666666667,5,0.005,192,0.13365
260,0.14666666666666667,7,0.005,64,3e-05
261,0.14666666666666667,7,0.005,96,4e-05
262,0.14666666666666667,7,0.005,128,7e-05
263,0.14666666666666667,7,0.005,160,8e-05
264,0.14666666666666667,7,0.005,192,0.0001
265,0.14666666666666667,7,0.005,64,0.13477
266,0.14666666666666667,7,0.005,96,0.13587
267,0.14666666666666667,7,0.005,128,0.13701
268,0.14666666666666667,7,0.005,160,0.13619
269,0.14666666666666667,7,0.005,192,0.13688
270,0.15,3,0.005,64,0.01261
271,0.15,3,0.005,96,0.0183
272,0.15,3,0.005,128,0.02461
273,0.15,3,0.005,160,0.03079
274,0.15,3,0.005,192,0.0366
275,0.15,3,0.005,64,0.13904
276,0.15,3,0.005,96,0.14319
277,0.15,3,0.005,128,0.14896
278,0.15,3,0.005,160,0.15168
279,0.15,3,0.005,192,0.1556
280,0.15,5,0.005,64,0.00053
281,0.15,5,0.005,96,0.00108
282,0.15,5,0.005,128,0.00113
283,0.15,5,0.005,160,0.00163
284,0.15,5,0.005,192,0.00217
285,0.15,5,0.005,64,0.13855
286,0.15,5,0.005,96,0.13723
287,0.15,5,0.005,128,0.1387
288,0.15,5,0.005,160,0.14137
289,0.15,5,0.005,192,0.13849
290,0.15,7,0.005,64,2e-05
291,0.15,7,0.005,96,2e-05
292,0.15,7,0.005,128,5e-05
293,0.15,7,0.005,160,8e-05
294,0.15,7,0.005,192,8e-05
295,0.15,7,0.005,64,0.14268
296,0.15,7,0.005,96,0.14407
297,0.15,7,0.005,128,0.14303
298,0.15,7,0.005,160,0.14481
299,0.15,7,0.005,192,0.14249
