,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.01,64,0.0486
1,0.1,3,0.01,96,0.0672
2,0.1,3,0.01,128,0.0891
3,0.1,3,0.01,160,0.1128
4,0.1,3,0.01,192,0.1222
5,0.1,3,0.01,64,0.1142
6,0.1,3,0.01,96,0.136
7,0.1,3,0.01,128,0.1516
8,0.1,3,0.01,160,0.1703
9,0.1,3,0.01,192,0.1907
10,0.1,5,0.01,64,0.0047
11,0.1,5,0.01,96,0.0074
12,0.1,5,0.01,128,0.0105
13,0.1,5,0.01,160,0.0112
14,0.1,5,0.01,192,0.0173
15,0.1,5,0.01,64,0.0764
16,0.1,5,0.01,96,0.0792
17,0.1,5,0.01,128,0.0819
18,0.1,5,0.01,160,0.0813
19,0.1,5,0.01,192,0.0843
20,0.1,7,0.01,64,0.0004
21,0.1,7,0.01,96,0.0008
22,0.1,7,0.01,128,0.0009
23,0.1,7,0.01,160,0.0021
24,0.1,7,0.01,192,0.0023
25,0.1,7,0.01,64,0.0667
26,0.1,7,0.01,96,0.0639
27,0.1,7,0.01,128,0.062
28,0.1,7,0.01,160,0.0631
29,0.1,7,0.01,192,0.0692
30,0.1125,3,0.01,64,0.0502
31,0.1125,3,0.01,96,0.0707
32,0.1125,3,0.01,128,0.0964
33,0.1125,3,0.01,160,0.1177
34,0.1125,3,0.01,192,0.1292
35,0.1125,3,0.01,64,0.138
36,0.1125,3,0.01,96,0.1483
37,0.1125,3,0.01,128,0.1671
38,0.1125,3,0.01,160,0.1819
39,0.1125,3,0.01,192,0.204
40,0.1125,5,0.01,64,0.0059
41,0.1125,5,0.01,96,0.0072
42,0.1125,5,0.01,128,0.0108
43,0.1125,5,0.01,160,0.0124
44,0.1125,5,0.01,192,0.0167
45,0.1125,5,0.01,64,0.0991
46,0.1125,5,0.01,96,0.0976
47,0.1125,5,0.01,128,0.0978
48,0.1125,5,0.01,160,0.0963
49,0.1125,5,0.01,192,0.1003
50,0.1125,7,0.01,64,0.001
51,0.1125,7,0.01,96,0.0014
52,0.1125,7,0.01,128,0.0006
53,0.1125,7,0.01,160,0.0014
54,0.1125,7,0.01,192,0.0018
55,0.1125,7,0.01,64,0.0875
56,0.1125,7,0.01,96,0.0831
57,0.1125,7,0.01,128,0.0872
58,0.1125,7,0.01,160,0.0881
59,0.1125,7,0.01,192,0.0817
60,0.125,3,0.01,64,0.0451
61,0.125,3,0.01,96,0.0731
62,0.125,3,0.01,128,0.0896
63,0.125,3,0.01,160,0.1091
64,0.125,3,0.01,192,0.1291
65,0.125,3,0.01,64,0.1466
66,0.125,3,0.01,96,0.1628
67,0.125,3,0.01,128,0.1745
68,0.125,3,0.01,160,0.1979
69,0.125,3,0.01,192,0.2088
70,0.125,5,0.01,64,0.0041
71,0.125,5,0.01,96,0.0086
72,0.125,5,0.01,128,0.0114
73,0.125,5,0.01,160,0.0122
74,0.125,5,0.01,192,0.0144
75,0.125,5,0.01,64,0.1162
76,0.125,5,0.01,96,0.1202
77,0.125,5,0.01,128,0.119
78,0.125,5,0.01,160,0.1192
79,0.125,5,0.01,192,0.1127
80,0.125,7,0.01,64,0.0002
81,0.125,7,0.01,96,0.0005
82,0.125,7,0.01,128,0.001
83,0.125,7,0.01,160,0.0019
84,0.125,7,0.01,192,0.0016
85,0.125,7,0.01,64,0.1133
86,0.125,7,0.01,96,0.111
87,0.125,7,0.01,128,0.1108
88,0.125,7,0.01,160,0.1093
89,0.125,7,0.01,192,0.1088
90,0.1375,3,0.01,64,0.0509
91,0.1375,3,0.01,96,0.0756
92,0.1375,3,0.01,128,0.0976
93,0.1375,3,0.01,160,0.109
94,0.1375,3,0.01,192,0.133
95,0.1375,3,0.01,64,0.1559
96,0.1375,3,0.01,96,0.1762
97,0.1375,3,0.01,128,0.193
98,0.1375,3,0.01,160,0.2004
99,0.1375,3,0.01,192,0.2089
100,0.1375,5,0.01,64,0.0053
101,0.1375,5,0.01,96,0.0084
102,0.1375,5,0.01,128,0.0111
103,0.1375,5,0.01,160,0.0131
104,0.1375,5,0.01,192,0.0155
105,0.1375,5,0.01,64,0.132
106,0.1375,5,0.01,96,0.1367
107,0.1375,5,0.01,128,0.1441
108,0.1375,5,0.01,160,0.1413
109,0.1375,5,0.01,192,0.1397
110,0.1375,7,0.01,64,0.0006
111,0.1375,7,0.01,96,0.0005
112,0.1375,7,0.01,128,0.001
113,0.1375,7,0.01,160,0.0014
114,0.1375,7,0.01,192,0.0019
115,0.1375,7,0.01,64,0.1294
116,0.1375,7,0.01,96,0.1245
117,0.1375,7,0.01,128,0.1338
118,0.1375,7,0.01,160,0.1278
119,0.1375,7,0.01,192,0.1318
120,0.15,3,0.01,64,0.0461
121,0.15,3,0.01,96,0.0714
122,0.15,3,0.01,128,0.0907
123,0.15,3,0.01,160,0.1127
124,0.15,3,0.01,192,0.1312
125,0.15,3,0.01,64,0.1712
126,0.15,3,0.01,96,0.1819
127,0.15,3,0.01,128,0.2062
128,0.15,3,0.01,160,0.2156
129,0.15,3,0.01,192,0.2379
130,0.15,5,0.01,64,0.0055
131,0.15,5,0.01,96,0.0104
132,0.15,5,0.01,128,0.0107
133,0.15,5,0.01,160,0.011
134,0.15,5,0.01,192,0.0166
135,0.15,5,0.01,64,0.1522
136,0.15,5,0.01,96,0.1568
137,0.15,5,0.01,128,0.1597
138,0.15,5,0.01,160,0.1648
139,0.15,5,0.01,192,0.165
140,0.15,7,0.01,64,0.0004
141,0.15,7,0.01,96,0.0014
142,0.15,7,0.01,128,0.0012
143,0.15,7,0.01,160,0.0011
144,0.15,7,0.01,192,0.0012
145,0.15,7,0.01,64,0.167
146,0.15,7,0.01,96,0.1547
147,0.15,7,0.01,128,0.1635
148,0.15,7,0.01,160,0.1603
149,0.15,7,0.01,192,0.163
