,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,3,0.0225,40,0.25685
1,0.08,3,0.0225,48,0.28901
2,0.08,3,0.0225,56,0.32045
3,0.08,3,0.0225,64,0.34064
4,0.08,3,0.0225,72,0.36286
5,0.08,3,0.0225,80,0.38083
6,0.08,3,0.0225,88,0.39565
7,0.08,3,0.0225,40,0.28286
8,0.08,3,0.0225,48,0.3088
9,0.08,3,0.0225,56,0.33596
10,0.08,3,0.0225,64,0.35671
11,0.08,3,0.0225,72,0.37686
12,0.08,3,0.0225,80,0.39307
13,0.08,3,0.0225,88,0.40745
14,0.08,5,0.0225,40,0.12481
15,0.08,5,0.0225,48,0.14181
16,0.08,5,0.0225,56,0.16315
17,0.08,5,0.0225,64,0.18245
18,0.08,5,0.0225,72,0.19997
19,0.08,5,0.0225,80,0.21915
20,0.08,5,0.0225,88,0.23328
21,0.08,5,0.0225,40,0.1614
22,0.08,5,0.0225,48,0.18199
23,0.08,5,0.0225,56,0.19658
24,0.08,5,0.0225,64,0.21577
25,0.08,5,0.0225,72,0.22989
26,0.08,5,0.0225,80,0.24704
27,0.08,5,0.0225,88,0.25821
28,0.08,7,0.0225,40,0.05137
29,0.08,7,0.0225,48,0.06299
30,0.08,7,0.0225,56,0.07221
31,0.08,7,0.0225,64,0.08165
32,0.08,7,0.0225,72,0.09116
33,0.08,7,0.0225,80,0.09916
34,0.08,7,0.0225,88,0.10789
35,0.08,7,0.0225,40,0.08981
36,0.08,7,0.0225,48,0.09832
37,0.08,7,0.0225,56,0.10794
38,0.08,7,0.0225,64,0.11614
39,0.08,7,0.0225,72,0.1253
40,0.08,7,0.0225,80,0.13257
41,0.08,7,0.0225,88,0.1412
42,0.08888888888888889,3,0.0225,40,0.25739
43,0.08888888888888889,3,0.0225,48,0.28848
44,0.08888888888888889,3,0.0225,56,0.31648
45,0.08888888888888889,3,0.0225,64,0.34106
46,0.08888888888888889,3,0.0225,72,0.3617
47,0.08888888888888889,3,0.0225,80,0.37904
48,0.08888888888888889,3,0.0225,88,0.39828
49,0.08888888888888889,3,0.0225,40,0.28747
50,0.08888888888888889,3,0.0225,48,0.31701
51,0.08888888888888889,3,0.0225,56,0.34015
52,0.08888888888888889,3,0.0225,64,0.35983
53,0.08888888888888889,3,0.0225,72,0.37815
54,0.08888888888888889,3,0.0225,80,0.39348
55,0.08888888888888889,3,0.0225,88,0.40768
56,0.08888888888888889,5,0.0225,40,0.12092
57,0.08888888888888889,5,0.0225,48,0.14493
58,0.08888888888888889,5,0.0225,56,0.16441
59,0.08888888888888889,5,0.0225,64,0.18173
60,0.08888888888888889,5,0.0225,72,0.1995
61,0.08888888888888889,5,0.0225,80,0.21473
62,0.08888888888888889,5,0.0225,88,0.23211
63,0.08888888888888889,5,0.0225,40,0.16958
64,0.08888888888888889,5,0.0225,48,0.19003
65,0.08888888888888889,5,0.0225,56,0.20551
66,0.08888888888888889,5,0.0225,64,0.22294
67,0.08888888888888889,5,0.0225,72,0.23561
68,0.08888888888888889,5,0.0225,80,0.25231
69,0.08888888888888889,5,0.0225,88,0.26493
70,0.08888888888888889,7,0.0225,40,0.05202
71,0.08888888888888889,7,0.0225,48,0.06222
72,0.08888888888888889,7,0.0225,56,0.07068
73,0.08888888888888889,7,0.0225,64,0.08165
74,0.08888888888888889,7,0.0225,72,0.08874
75,0.08888888888888889,7,0.0225,80,0.09739
76,0.08888888888888889,7,0.0225,88,0.10876
77,0.08888888888888889,7,0.0225,40,0.10232
78,0.08888888888888889,7,0.0225,48,0.11119
79,0.08888888888888889,7,0.0225,56,0.11597
80,0.08888888888888889,7,0.0225,64,0.12758
81,0.08888888888888889,7,0.0225,72,0.1342
82,0.08888888888888889,7,0.0225,80,0.14365
83,0.08888888888888889,7,0.0225,88,0.15032
84,0.09777777777777778,3,0.0225,40,0.25339
85,0.09777777777777778,3,0.0225,48,0.28895
86,0.09777777777777778,3,0.0225,56,0.31499
87,0.09777777777777778,3,0.0225,64,0.33754
88,0.09777777777777778,3,0.0225,72,0.3614
89,0.09777777777777778,3,0.0225,80,0.38069
90,0.09777777777777778,3,0.0225,88,0.39586
91,0.09777777777777778,3,0.0225,40,0.29255
92,0.09777777777777778,3,0.0225,48,0.31963
93,0.09777777777777778,3,0.0225,56,0.34203
94,0.09777777777777778,3,0.0225,64,0.36481
95,0.09777777777777778,3,0.0225,72,0.38173
96,0.09777777777777778,3,0.0225,80,0.39953
97,0.09777777777777778,3,0.0225,88,0.41026
98,0.09777777777777778,5,0.0225,40,0.12311
99,0.09777777777777778,5,0.0225,48,0.14531
100,0.09777777777777778,5,0.0225,56,0.16315
101,0.09777777777777778,5,0.0225,64,0.18221
102,0.09777777777777778,5,0.0225,72,0.19956
103,0.09777777777777778,5,0.0225,80,0.21546
104,0.09777777777777778,5,0.0225,88,0.23059
105,0.09777777777777778,5,0.0225,40,0.18027
106,0.09777777777777778,5,0.0225,48,0.19855
107,0.09777777777777778,5,0.0225,56,0.21496
108,0.09777777777777778,5,0.0225,64,0.23068
109,0.09777777777777778,5,0.0225,72,0.24557
110,0.09777777777777778,5,0.0225,80,0.25678
111,0.09777777777777778,5,0.0225,88,0.27
112,0.09777777777777778,7,0.0225,40,0.05071
113,0.09777777777777778,7,0.0225,48,0.06121
114,0.09777777777777778,7,0.0225,56,0.07121
115,0.09777777777777778,7,0.0225,64,0.08136
116,0.09777777777777778,7,0.0225,72,0.08902
117,0.09777777777777778,7,0.0225,80,0.09873
118,0.09777777777777778,7,0.0225,88,0.10791
119,0.09777777777777778,7,0.0225,40,0.11403
120,0.09777777777777778,7,0.0225,48,0.12235
121,0.09777777777777778,7,0.0225,56,0.13046
122,0.09777777777777778,7,0.0225,64,0.13954
123,0.09777777777777778,7,0.0225,72,0.1451
124,0.09777777777777778,7,0.0225,80,0.15334
125,0.09777777777777778,7,0.0225,88,0.15928
126,0.10666666666666666,3,0.0225,40,0.25806
127,0.10666666666666666,3,0.0225,48,0.29053
128,0.10666666666666666,3,0.0225,56,0.31608
129,0.10666666666666666,3,0.0225,64,0.33976
130,0.10666666666666666,3,0.0225,72,0.36073
131,0.10666666666666666,3,0.0225,80,0.38278
132,0.10666666666666666,3,0.0225,88,0.39812
133,0.10666666666666666,3,0.0225,40,0.29592
134,0.10666666666666666,3,0.0225,48,0.32312
