,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.08,11,0.0225,24,0.0052
1,0.08,11,0.0225,36,0.0063
2,0.08,11,0.0225,48,0.0081
3,0.08,11,0.0225,60,0.0132
4,0.08,11,0.0225,24,0.0297
5,0.08,11,0.0225,36,0.0338
6,0.08,11,0.0225,48,0.0364
7,0.08,11,0.0225,60,0.0397
8,0.08,13,0.0225,24,0.0028
9,0.08,13,0.0225,36,0.0031
10,0.08,13,0.0225,48,0.0042
11,0.08,13,0.0225,60,0.0047
12,0.08,13,0.0225,24,0.0236
13,0.08,13,0.0225,36,0.0245
14,0.08,13,0.0225,48,0.0253
15,0.08,13,0.0225,60,0.0272
16,0.09,11,0.0225,24,0.0063
17,0.09,11,0.0225,36,0.0074
18,0.09,11,0.0225,48,0.0096
19,0.09,11,0.0225,60,0.0142
20,0.09,11,0.0225,24,0.0446
21,0.09,11,0.0225,36,0.0499
22,0.09,11,0.0225,48,0.0492
23,0.09,11,0.0225,60,0.0503
24,0.09,13,0.0225,24,0.0024
25,0.09,13,0.0225,36,0.0035
26,0.09,13,0.0225,48,0.0036
27,0.09,13,0.0225,60,0.0049
28,0.09,13,0.0225,24,0.0391
29,0.09,13,0.0225,36,0.0341
30,0.09,13,0.0225,48,0.0384
31,0.09,13,0.0225,60,0.0393
32,0.1,11,0.0225,24,0.0051
33,0.1,11,0.0225,36,0.0086
34,0.1,11,0.0225,48,0.0097
35,0.1,11,0.0225,60,0.012
36,0.1,11,0.0225,24,0.0627
37,0.1,11,0.0225,36,0.0626
38,0.1,11,0.0225,48,0.0638
39,0.1,11,0.0225,60,0.0689
40,0.1,13,0.0225,24,0.0017
41,0.1,13,0.0225,36,0.0029
42,0.1,13,0.0225,48,0.0046
43,0.1,13,0.0225,60,0.0047
44,0.1,13,0.0225,24,0.0515
45,0.1,13,0.0225,36,0.0509
46,0.1,13,0.0225,48,0.0533
47,0.1,13,0.0225,60,0.0563
48,0.11,11,0.0225,24,0.0056
49,0.11,11,0.0225,36,0.008
50,0.11,11,0.0225,48,0.0096
51,0.11,11,0.0225,60,0.0139
52,0.11,11,0.0225,24,0.0803
53,0.11,11,0.0225,36,0.0866
54,0.11,11,0.0225,48,0.086
55,0.11,11,0.0225,60,0.0907
56,0.11,13,0.0225,24,0.0015
57,0.11,13,0.0225,36,0.0023
58,0.11,13,0.0225,48,0.0035
59,0.11,13,0.0225,60,0.0067
60,0.11,13,0.0225,24,0.0711
61,0.11,13,0.0225,36,0.0763
62,0.11,13,0.0225,48,0.0751
63,0.11,13,0.0225,60,0.0712
64,0.12,11,0.0225,24,0.0057
65,0.12,11,0.0225,36,0.0081
66,0.12,11,0.0225,48,0.0098
67,0.12,11,0.0225,60,0.0105
68,0.12,11,0.0225,24,0.1072
69,0.12,11,0.0225,36,0.1105
70,0.12,11,0.0225,48,0.1085
71,0.12,11,0.0225,60,0.1076
72,0.12,13,0.0225,24,0.0026
73,0.12,13,0.0225,36,0.0023
74,0.12,13,0.0225,48,0.004
75,0.12,13,0.0225,60,0.0043
76,0.12,13,0.0225,24,0.0978
77,0.12,13,0.0225,36,0.1
78,0.12,13,0.0225,48,0.0949
79,0.12,13,0.0225,60,0.0971
80,0.13,11,0.0225,24,0.0052
81,0.13,11,0.0225,36,0.0064
82,0.13,11,0.0225,48,0.0102
83,0.13,11,0.0225,60,0.0131
84,0.13,11,0.0225,24,0.1303
