,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.0,3,0.03,30,0.352
1,0.0,3,0.03,50,0.432
2,0.0,3,0.03,70,0.457
3,0.0,3,0.0375,30,0.398
4,0.0,3,0.0375,50,0.457
5,0.0,3,0.0375,70,0.506
6,0.0,3,0.045,30,0.442
7,0.0,3,0.045,50,0.506
8,0.0,3,0.045,70,0.49
9,0.0,3,0.0525,30,0.489
10,0.0,3,0.0525,50,0.495
11,0.0,3,0.0525,70,0.519
12,0.0,3,0.06,30,0.474
13,0.0,3,0.06,50,0.489
14,0.0,3,0.06,70,0.527
15,0.0,5,0.03,30,0.19
16,0.0,5,0.03,50,0.288
17,0.0,5,0.03,70,0.353
18,0.0,5,0.0375,30,0.309
19,0.0,5,0.0375,50,0.398
20,0.0,5,0.0375,70,0.424
21,0.0,5,0.045,30,0.415
22,0.0,5,0.045,50,0.481
23,0.0,5,0.045,70,0.494
24,0.0,5,0.0525,30,0.451
25,0.0,5,0.0525,50,0.52
26,0.0,5,0.0525,70,0.488
27,0.0,5,0.06,30,0.481
28,0.0,5,0.06,50,0.49
29,0.0,5,0.06,70,0.52
30,0.0,7,0.03,30,0.112
31,0.0,7,0.03,50,0.133
32,0.0,7,0.03,70,0.195
33,0.0,7,0.0375,30,0.271
34,0.0,7,0.0375,50,0.359
35,0.0,7,0.0375,70,0.393
36,0.0,7,0.045,30,0.392
37,0.0,7,0.045,50,0.444
38,0.0,7,0.045,70,0.485
39,0.0,7,0.0525,30,0.463
40,0.0,7,0.0525,50,0.513
41,0.0,7,0.0525,70,0.495
42,0.0,7,0.06,30,0.494
43,0.0,7,0.06,50,0.482
44,0.0,7,0.06,70,0.504
