,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.095,3,0.0225,64,0.34251
1,0.095,3,0.0225,96,0.41151
2,0.095,3,0.0225,128,0.44871
3,0.095,3,0.0225,160,0.47035
4,0.095,3,0.0225,192,0.48383
5,0.095,3,0.0225,64,0.37007
6,0.095,3,0.0225,96,0.42897
7,0.095,3,0.0225,128,0.4615
8,0.095,3,0.0225,160,0.47627
9,0.095,3,0.0225,192,0.48502
10,0.095,5,0.0225,64,0.18289
11,0.095,5,0.0225,96,0.24752
12,0.095,5,0.0225,128,0.29834
13,0.095,5,0.0225,160,0.34065
14,0.095,5,0.0225,192,0.36821
15,0.095,5,0.0225,64,0.24799
16,0.095,5,0.0225,96,0.29683
17,0.095,5,0.0225,128,0.3386
18,0.095,5,0.0225,160,0.36908
19,0.095,5,0.0225,192,0.39771
20,0.095,7,0.0225,64,0.07918
21,0.095,7,0.0225,96,0.11707
22,0.095,7,0.0225,128,0.14908
23,0.095,7,0.0225,160,0.17747
24,0.095,7,0.0225,192,0.20365
25,0.095,7,0.0225,64,0.16338
26,0.095,7,0.0225,96,0.19363
27,0.095,7,0.0225,128,0.2184
28,0.095,7,0.0225,160,0.24199
29,0.095,7,0.0225,192,0.26162
30,0.09833333333333333,3,0.0225,64,0.34003
31,0.09833333333333333,3,0.0225,96,0.41164
32,0.09833333333333333,3,0.0225,128,0.44883
33,0.09833333333333333,3,0.0225,160,0.47159
34,0.09833333333333333,3,0.0225,192,0.48497
35,0.09833333333333333,3,0.0225,64,0.37
36,0.09833333333333333,3,0.0225,96,0.42893
37,0.09833333333333333,3,0.0225,128,0.46097
38,0.09833333333333333,3,0.0225,160,0.47882
39,0.09833333333333333,3,0.0225,192,0.48632
40,0.09833333333333333,5,0.0225,64,0.18092
41,0.09833333333333333,5,0.0225,96,0.24515
42,0.09833333333333333,5,0.0225,128,0.29828
43,0.09833333333333333,5,0.0225,160,0.33791
44,0.09833333333333333,5,0.0225,192,0.37024
45,0.09833333333333333,5,0.0225,64,0.25087
46,0.09833333333333333,5,0.0225,96,0.30142
47,0.09833333333333333,5,0.0225,128,0.34137
48,0.09833333333333333,5,0.0225,160,0.36963
49,0.09833333333333333,5,0.0225,192,0.39949
50,0.09833333333333333,7,0.0225,64,0.08111
51,0.09833333333333333,7,0.0225,96,0.11591
52,0.09833333333333333,7,0.0225,128,0.14693
53,0.09833333333333333,7,0.0225,160,0.17825
54,0.09833333333333333,7,0.0225,192,0.20598
55,0.09833333333333333,7,0.0225,64,0.17182
56,0.09833333333333333,7,0.0225,96,0.19754
57,0.09833333333333333,7,0.0225,128,0.2213
58,0.09833333333333333,7,0.0225,160,0.24689
59,0.09833333333333333,7,0.0225,192,0.26558
60,0.10166666666666667,3,0.0225,64,0.34296
61,0.10166666666666667,3,0.0225,96,0.41222
62,0.10166666666666667,3,0.0225,128,0.4511
63,0.10166666666666667,3,0.0225,160,0.47176
64,0.10166666666666667,3,0.0225,192,0.48264
65,0.10166666666666667,3,0.0225,64,0.37015
66,0.10166666666666667,3,0.0225,96,0.42887
67,0.10166666666666667,3,0.0225,128,0.45719
68,0.10166666666666667,3,0.0225,160,0.47833
69,0.10166666666666667,3,0.0225,192,0.48884
70,0.10166666666666667,5,0.0225,64,0.18312
71,0.10166666666666667,5,0.0225,96,0.24662
72,0.10166666666666667,5,0.0225,128,0.29578
73,0.10166666666666667,5,0.0225,160,0.33877
74,0.10166666666666667,5,0.0225,192,0.37065
75,0.10166666666666667,5,0.0225,64,0.25391
76,0.10166666666666667,5,0.0225,96,0.30386
77,0.10166666666666667,5,0.0225,128,0.34319
78,0.10166666666666667,5,0.0225,160,0.37452
79,0.10166666666666667,5,0.0225,192,0.3963
80,0.10166666666666667,7,0.0225,64,0.08021
81,0.10166666666666667,7,0.0225,96,0.11506
82,0.10166666666666667,7,0.0225,128,0.1489
83,0.10166666666666667,7,0.0225,160,0.17947
84,0.10166666666666667,7,0.0225,192,0.20598
85,0.10166666666666667,7,0.0225,64,0.17399
86,0.10166666666666667,7,0.0225,96,0.2017
87,0.10166666666666667,7,0.0225,128,0.22656
88,0.10166666666666667,7,0.0225,160,0.25078
89,0.10166666666666667,7,0.0225,192,0.2682
90,0.105,3,0.0225,64,0.34256
91,0.105,3,0.0225,96,0.41144
92,0.105,3,0.0225,128,0.44838
93,0.105,3,0.0225,160,0.47086
94,0.105,3,0.0225,192,0.48417
95,0.105,3,0.0225,64,0.37406
96,0.105,3,0.0225,96,0.43033
97,0.105,3,0.0225,128,0.45946
98,0.105,3,0.0225,160,0.47859
99,0.105,3,0.0225,192,0.48731
100,0.105,5,0.0225,64,0.18313
101,0.105,5,0.0225,96,0.24765
102,0.105,5,0.0225,128,0.29995
103,0.105,5,0.0225,160,0.3374
104,0.105,5,0.0225,192,0.37289
105,0.105,5,0.0225,64,0.25903
106,0.105,5,0.0225,96,0.30517
107,0.105,5,0.0225,128,0.34495
108,0.105,5,0.0225,160,0.37592
109,0.105,5,0.0225,192,0.40139
110,0.105,7,0.0225,64,0.0812
111,0.105,7,0.0225,96,0.11659
112,0.105,7,0.0225,128,0.14721
113,0.105,7,0.0225,160,0.17524
114,0.105,7,0.0225,192,0.20284
115,0.105,7,0.0225,64,0.18146
116,0.105,7,0.0225,96,0.20391
117,0.105,7,0.0225,128,0.23376
118,0.105,7,0.0225,160,0.25453
119,0.105,7,0.0225,192,0.27683
120,0.10833333333333334,3,0.0225,64,0.33788
121,0.10833333333333334,3,0.0225,96,0.40885
122,0.10833333333333334,3,0.0225,128,0.44954
123,0.10833333333333334,3,0.0225,160,0.47211
124,0.10833333333333334,3,0.0225,192,0.48337
125,0.10833333333333334,3,0.0225,64,0.37507
126,0.10833333333333334,3,0.0225,96,0.42974
127,0.10833333333333334,3,0.0225,128,0.45945
128,0.10833333333333334,3,0.0225,160,0.47588
129,0.10833333333333334,3,0.0225,192,0.48863
130,0.10833333333333334,5,0.0225,64,0.18052
131,0.10833333333333334,5,0.0225,96,0.24557
132,0.10833333333333334,5,0.0225,128,0.29844
133,0.10833333333333334,5,0.0225,160,0.33692
134,0.10833333333333334,5,0.0225,192,0.37139
135,0.10833333333333334,5,0.0225,64,0.26123
136,0.10833333333333334,5,0.0225,96,0.31018
137,0.10833333333333334,5,0.0225,128,0.34571
138,0.10833333333333334,5,0.0225,160,0.38048
139,0.10833333333333334,5,0.0225,192,0.39754
140,0.10833333333333334,7,0.0225,64,0.08083
141,0.10833333333333334,7,0.0225,96,0.11702
142,0.10833333333333334,7,0.0225,128,0.1495
143,0.10833333333333334,7,0.0225,160,0.1781
144,0.10833333333333334,7,0.0225,192,0.20429
145,0.10833333333333334,7,0.0225,64,0.18679
146,0.10833333333333334,7,0.0225,96,0.21129
147,0.10833333333333334,7,0.0225,128,0.23746
148,0.10833333333333334,7,0.0225,160,0.25952
149,0.10833333333333334,7,0.0225,192,0.27965
150,0.11166666666666666,3,0.0225,64,0.34237
151,0.11166666666666666,3,0.0225,96,0.41072
