,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.09,5,0.03,50,0.27931313131313135
1,0.09,5,0.03,50,0.3112424242424243
2,0.09,7,0.03,70,0.22680808080808074
3,0.09,7,0.03,70,0.263969696969697
4,0.09,9,0.03,90,0.17255555555555546
5,0.09,9,0.03,90,0.21444444444444455
6,0.09,11,0.03,110,0.12764646464646467
7,0.09,11,0.03,110,0.16965656565656562
8,0.09999999999999999,5,0.03,50,0.27964646464646487
9,0.09999999999999999,5,0.03,50,0.3136969696969696
10,0.09999999999999999,7,0.03,70,0.22583838383838387
11,0.09999999999999999,7,0.03,70,0.27352525252525267
12,0.09999999999999999,9,0.03,90,0.17289898989898994
13,0.09999999999999999,9,0.03,90,0.22949494949494958
14,0.09999999999999999,11,0.03,110,0.12958585858585858
15,0.09999999999999999,11,0.03,110,0.1874444444444445
16,0.11,5,0.03,50,0.2797070707070706
17,0.11,5,0.03,50,0.322919191919192
18,0.11,7,0.03,70,0.22835353535353534
19,0.11,7,0.03,70,0.28449494949494947
20,0.11,9,0.03,90,0.17409090909090905
21,0.11,9,0.03,90,0.2393737373737375
22,0.11,11,0.03,110,0.12608080808080804
23,0.11,11,0.03,110,0.20176767676767682
24,0.12,5,0.03,50,0.28031313131313135
25,0.12,5,0.03,50,0.3333333333333333
26,0.12,7,0.03,70,0.22740404040404047
27,0.12,7,0.03,70,0.2960303030303029
28,0.12,9,0.03,90,0.17617171717171712
29,0.12,9,0.03,90,0.2558686868686868
30,0.12,11,0.03,110,0.12872727272727272
31,0.12,11,0.03,110,0.2225858585858586
32,0.13,5,0.03,50,0.28049494949494946
33,0.13,5,0.03,50,0.33866666666666667
34,0.13,7,0.03,70,0.22967676767676756
35,0.13,7,0.03,70,0.30520202020202014
36,0.13,9,0.03,90,0.17443434343434341
37,0.13,9,0.03,90,0.27335353535353535
38,0.13,11,0.03,110,0.12823232323232323
39,0.13,11,0.03,110,0.24369696969696986
40,0.14,5,0.03,50,0.27938383838383835
41,0.14,5,0.03,50,0.3464040404040403
42,0.14,7,0.03,70,0.22677777777777783
43,0.14,7,0.03,70,0.3186060606060606
44,0.14,9,0.03,90,0.17507070707070707
45,0.14,9,0.03,90,0.2921616161616162
46,0.14,11,0.03,110,0.13001010101010105
47,0.14,11,0.03,110,0.26464646464646474
48,0.15,5,0.03,50,0.2777979797979798
49,0.15,5,0.03,50,0.35904040404040405
50,0.15,7,0.03,70,0.22781818181818178
51,0.15,7,0.03,70,0.33401010101010103
52,0.15,9,0.03,90,0.17519191919191918
53,0.15,9,0.03,90,0.30869696969696975
54,0.15,11,0.03,110,0.12896969696969698
55,0.15,11,0.03,110,0.28780808080808085
