,Burst_Error_Rate,Distance,Physical_Error_Rate,Number_of_Rounds,Logical_Error_Rate
0,0.1,3,0.02,64,0.1667
1,0.1,3,0.02,96,0.2207
2,0.1,3,0.02,128,0.273
3,0.1,3,0.02,160,0.3159
4,0.1,3,0.02,192,0.3404
5,0.1,3,0.02,64,0.225
6,0.1,3,0.02,96,0.2681
7,0.1,3,0.02,128,0.3234
8,0.1,3,0.02,160,0.3428
9,0.1,3,0.02,192,0.3785
10,0.1,5,0.02,64,0.0375
11,0.1,5,0.02,96,0.0523
12,0.1,5,0.02,128,0.0723
13,0.1,5,0.02,160,0.0909
14,0.1,5,0.02,192,0.1047
15,0.1,5,0.02,64,0.1245
16,0.1,5,0.02,96,0.1386
17,0.1,5,0.02,128,0.1507
18,0.1,5,0.02,160,0.1644
19,0.1,5,0.02,192,0.1836
20,0.1,7,0.02,64,0.0096
21,0.1,7,0.02,96,0.0126
22,0.1,7,0.02,128,0.0154
23,0.1,7,0.02,160,0.0212
24,0.1,7,0.02,192,0.0247
25,0.1,7,0.02,64,0.0938
26,0.1,7,0.02,96,0.0944
27,0.1,7,0.02,128,0.1004
28,0.1,7,0.02,160,0.1047
29,0.1,7,0.02,192,0.1055
